dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
Colposcopy,160,1,180,6,5,0.281,lstm,0.43,0.16395121225535356,0.45
Colposcopy,160,1,180,6,5,0.281,catch22,0.078,0.06615134163416492,0.425
Colposcopy,160,1,180,6,5,0.281,rocket,0.67,0.17219175357722563,0.3
EOGHorizontalSignal,579,1,1250,12,1,0.093,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,1,0.093,catch22,0.35453124999999996,0.2585169825629208,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,1,0.093,rocket,0.40584070796460175,0.19229736220500587,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,10,0.079,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,10,0.079,catch22,0.2892857142857143,0.1846411301383728,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,10,0.079,rocket,0.39294642857142853,0.19401140611193618,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,11,0.083,lstm,0.5733802816901409,0.3366401667429325,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,11,0.083,catch22,0.4122689075630253,0.19454077352234447,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,11,0.083,rocket,0.5391034482758622,0.18647332153228197,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,12,0.079,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,12,0.079,catch22,0.41663043478260875,0.2392482664237455,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,12,0.079,rocket,0.5179,0.23137543084778903,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,2,0.085,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,2,0.085,catch22,0.4984415584415584,0.28629321512418465,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,2,0.085,rocket,0.6552747252747253,0.235312934776812,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,3,0.088,lstm,0.6210416666666666,0.32020331811296954,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,3,0.088,catch22,0.35872340425531923,0.22612477276162415,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,3,0.088,rocket,0.4396153846153847,0.17067018957471,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,4,0.085,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,4,0.085,catch22,0.3481395348837209,0.23028047422455514,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,4,0.085,rocket,0.40571428571428575,0.21077639241175983,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,5,0.092,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,5,0.092,catch22,0.2857142857142857,0.1973725370140105,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,5,0.092,rocket,0.4333009708737863,0.21918378310394326,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,6,0.088,lstm,0.3442857142857143,0.13772199148565747,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,6,0.088,catch22,0.25766666666666665,0.1899418039529184,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,6,0.088,rocket,0.3794545454545455,0.18966878481680716,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,7,0.079,lstm,0.2622972972972973,0.27294463995319984,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,7,0.079,catch22,0.4141441441441441,0.24363785142273997,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,7,0.079,rocket,0.4734722222222223,0.18275788265582285,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,8,0.067,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,8,0.067,catch22,0.2951685393258427,0.24693224453733953,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,8,0.067,rocket,0.32333333333333336,0.16184657934438415,0.8896551724137931
EOGHorizontalSignal,579,1,1250,12,9,0.081,lstm,0.0,0.0,0.2620689655172414
EOGHorizontalSignal,579,1,1250,12,9,0.081,catch22,0.29807692307692313,0.19556661723092703,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,9,0.081,rocket,0.3885245901639344,0.21547382835694745,0.8896551724137931
EOGVerticalSignal,579,1,1250,12,1,0.093,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,1,0.093,catch22,0.5147619047619048,0.275825497761573,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,1,0.093,rocket,0.736015625,0.1639423481162185,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,10,0.079,lstm,0.03,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,10,0.079,catch22,0.23972602739726026,0.18443525502239894,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,10,0.079,rocket,0.34280701754385967,0.16209434534510864,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,11,0.083,lstm,0.26,0.24000000000000002,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,11,0.083,catch22,0.3731746031746032,0.2917588991410839,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,11,0.083,rocket,0.4204237288135592,0.1639108587203268,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,12,0.079,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,12,0.079,catch22,0.36879310344827587,0.23065183185625143,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,12,0.079,rocket,0.3995049504950495,0.18412961554846968,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,2,0.085,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,2,0.085,catch22,0.34187500000000004,0.25633763745302796,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,2,0.085,rocket,0.49624999999999997,0.2316752846118895,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,3,0.088,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,3,0.088,catch22,0.37441860465116283,0.2260922051625449,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,3,0.088,rocket,0.42786885245901635,0.17976409636327859,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,4,0.085,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,4,0.085,catch22,0.2925,0.23668280461410796,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,4,0.085,rocket,0.4625,0.21035247030806623,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,5,0.092,lstm,0.2546153846153846,0.2046616489050755,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,5,0.092,catch22,0.27482758620689657,0.16643567028269352,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,5,0.092,rocket,0.4056923076923077,0.17129793416302694,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,6,0.088,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,6,0.088,catch22,0.3132142857142857,0.23447591364921186,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,6,0.088,rocket,0.5153703703703704,0.1697297739323366,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,7,0.079,lstm,0.34199999999999997,0.25158696309626216,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,7,0.079,catch22,0.32152173913043475,0.23246287587020212,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,7,0.079,rocket,0.4777685950413223,0.179173896800623,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,8,0.067,lstm,0.0,0.0,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,8,0.067,catch22,0.31975,0.22661076210100878,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,8,0.067,rocket,0.35967213114754093,0.13846899650758962,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,9,0.081,lstm,0.16,0.13114877048604,0.20689655172413793
EOGVerticalSignal,579,1,1250,12,9,0.081,catch22,0.3219117647058824,0.24614831345051477,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,9,0.081,rocket,0.4189622641509435,0.1756117568445901,0.8275862068965517
ToeSegmentation1,214,1,277,2,0,0.505,lstm,0.5145945945945946,0.2522610680570192,0.7962962962962963
ToeSegmentation1,214,1,277,2,0,0.505,catch22,0.5038461538461539,0.21633444412755065,0.9629629629629629
ToeSegmentation1,214,1,277,2,0,0.505,rocket,0.5556862745098039,0.1404928984592932,0.9629629629629629
ToeSegmentation1,214,1,277,2,1,0.495,lstm,0.5254054054054056,0.2522610680570192,0.7962962962962963
ToeSegmentation1,214,1,277,2,1,0.495,catch22,0.4675,0.19213251636866116,0.9629629629629629
ToeSegmentation1,214,1,277,2,1,0.495,rocket,0.4843137254901961,0.1404928984592932,0.9629629629629629
AtrialFibrillation,24,2,640,3,n,0.333,lstm,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,n,0.333,catch22,0.0,0.0,0.3333333333333333
AtrialFibrillation,24,2,640,3,n,0.333,rocket,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,s,0.292,lstm,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,s,0.292,catch22,0.0,0.0,0.3333333333333333
AtrialFibrillation,24,2,640,3,s,0.292,rocket,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,t,0.375,lstm,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,t,0.375,catch22,0.0,0.0,0.3333333333333333
AtrialFibrillation,24,2,640,3,t,0.375,rocket,0.0,0.0,0.0
Heartbeat,327,61,405,2,abnormal,0.734,lstm,0.0,0.0,0.6097560975609756
Heartbeat,327,61,405,2,abnormal,0.734,catch22,0.1109090909090909,0.09462409317010367,0.6951219512195121
Heartbeat,327,61,405,2,abnormal,0.734,rocket,0.6481250000000001,0.18296921701477548,0.6463414634146342
Heartbeat,327,61,405,2,normal,0.266,lstm,0.0,0.0,0.6097560975609756
Heartbeat,327,61,405,2,normal,0.266,catch22,0.7863636363636364,0.1069641169460562,0.6951219512195121
Heartbeat,327,61,405,2,normal,0.266,rocket,0.391875,0.18296921701477545,0.6463414634146342
EMOPain,1058,30,200,3,0,0.773,lstm,0.057142857142857155,0.01665986255670086,0.7773584905660378
EMOPain,1058,30,200,3,0,0.773,catch22,0.1481012658227848,0.12172885358807108,0.9056603773584906
EMOPain,1058,30,200,3,0,0.773,rocket,0.6325000000000001,0.3944980988547346,0.7886792452830189
EMOPain,1058,30,200,3,1,0.144,lstm,0.535,0.02217355782608347,0.7773584905660378
EMOPain,1058,30,200,3,1,0.144,catch22,0.6704166666666667,0.20303282096471223,0.9056603773584906
EMOPain,1058,30,200,3,1,0.144,rocket,0.2685714285714286,0.2980053739132106,0.7886792452830189
EMOPain,1058,30,200,3,2,0.083,lstm,0.909375,0.03928561282454432,0.7773584905660378
EMOPain,1058,30,200,3,2,0.083,catch22,0.8690217391304348,0.16306213661354813,0.9056603773584906
