Dataset,class,model,f1_name,f1,f2_name,f2,f3_name,f3,f4_name,f4,f5_name,f5
EOGVerticalSignal,12,rocket,0_Median absolute diff,34.01611221305768,0_Median diff,-2.732974989975376,0_MFCC_6,-2.4347368024701206,0_MFCC_7,-1.39675574825444,0_MFCC_4,0.7588523204560662
EOGVerticalSignal,2,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,2,catch22,0_MFCC_6,-5.740673985767288,0_MFCC_0,4.239601628414557,0_Kurtosis,-3.7439730629513,0_MFCC_4,2.198899924102981,0_Median absolute diff,2.017326727828836
EOGVerticalSignal,2,rocket,0_Median absolute diff,24.270033792844508,0_MFCC_6,-5.075670835496185,0_Histogram mode,-4.838495289748043,0_MFCC_0,3.627242909129055,0_Kurtosis,-3.5135837549502202
EOGVerticalSignal,3,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,3,catch22,0_Histogram mode,-49.59529869288745,0_Median absolute diff,0.5948456592735396,0_ECDF Percentile_1,-0.42232123733756555,0_MFCC_9,-0.26184870105496233,0_Power bandwidth,-0.09999999998749999
EOGVerticalSignal,3,rocket,0_Median absolute diff,1.8049504860233088,0_Negative turning points,0.21182266009841783,0_Positive turning points,0.21182266009841783,0_ECDF Percentile_1,0.21055072150397808,0_Spectrogram mean coefficient_0.0Hz,-0.12226371108953814
EOGVerticalSignal,4,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,4,catch22,0_Histogram mode,-24.977282353032713,0_MFCC_6,-19.243326578372802,0_MFCC_4,5.142031980778444,0_Median absolute diff,1.3044013363268365,0_MFCC_7,-0.8523670948796769
EOGVerticalSignal,4,rocket,0_Histogram mode,-16.009482338168883,0_MFCC_6,-14.33952076120991,0_ECDF Percentile_1,6.179124780025131,0_MFCC_4,4.612594741065375,0_Median absolute diff,2.803234208076283
EOGVerticalSignal,5,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,5,catch22,0_Median,9.903742473747633,0_Median absolute diff,3.8021554513799867,0_Autocorrelation,2.2781918057618316,0_MFCC_6,-1.5387773574068155,0_MFCC_1,1.426262995099445
EOGVerticalSignal,5,rocket,0_Spectral roll-on,30769230.692307692,0_Wavelet absolute mean_12.5Hz,13.151061908514901,0_Median absolute diff,3.6712897770001525,0_Wavelet absolute mean_8.33Hz,3.3833320684718604,0_Wavelet absolute mean_6.25Hz,1.9611861527395236
EOGVerticalSignal,6,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,6,catch22,0_Histogram mode,-8.254821861411756,0_Median absolute diff,2.100413881721775,0_MFCC_1,0.9487845891584399,0_MFCC_9,0.931565244427405,0_MFCC_3,-0.5237664770268676
EOGVerticalSignal,6,rocket,0_Histogram mode,-19.87100508400127,0_ECDF Percentile_1,4.938798257838996,0_Median absolute diff,2.8999837953662184,0_Kurtosis,-1.6191364397661876,0_MFCC_1,1.2647994693857614
EOGVerticalSignal,7,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,7,catch22,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,7,rocket,0_Median absolute diff,71.15709228049496,0_Median diff,-4.8042902025896685,0_MFCC_7,-3.4960790403484965,0_MFCC_4,-0.9129437663842275,0_Kurtosis,-0.6119082769806234
EOGVerticalSignal,8,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,8,catch22,0_MFCC_9,48.41709954009623,0_MFCC_3,-5.473856319337063,0_MFCC_5,-4.052102066075071,0_ECDF Percentile_1,0.896061530617693,0_Median absolute diff,0.677780251554406
EOGVerticalSignal,8,rocket,0_MFCC_9,11.561530056039137,0_MFCC_5,-3.6223042019200915,0_MFCC_3,-2.50236687503399,0_Median absolute diff,1.2477271128896663,0_Histogram mode,-1.192661660642327
EOGVerticalSignal,9,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,9,catch22,0_Median absolute diff,5.135285975068039,0_MFCC_3,-3.887423132364016,0_MFCC_1,2.712377858488092,0_MFCC_6,-1.283778749974916,0_MFCC_11,-1.1772433969052862
EOGVerticalSignal,9,rocket,0_Spectral roll-on,133333333.33333333,0_Wavelet absolute mean_12.5Hz,21.893215687764098,0_Wavelet absolute mean_8.33Hz,5.750179313687215,0_Wavelet absolute mean_6.25Hz,3.373012578044768,0_Wavelet absolute mean_25.0Hz,2.7957724154971757
Heartbeat,abnormal,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
Heartbeat,abnormal,catch22,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
Heartbeat,abnormal,rocket,39_LPCC_6,688.1285169049643,33_LPCC_6,351.93888631955895,23_LPCC_4,186.15319534116162,23_LPCC_8,186.15319534116162,36_MFCC_9,180.43000277879125
Heartbeat,normal,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
Heartbeat,normal,catch22,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
Heartbeat,normal,rocket,39_Mean diff,-1500.6776842429322,58_MFCC_5,-202.39589482436642,60_Min,177.83620140167574,8_Kurtosis,115.8408154080931,11_Kurtosis,90.98237374841267
NerveDamage,0,lstm,0_Median diff,145058.95941570928,0_Slope,-33.98213450952733,0_Wavelet absolute mean_6.25Hz,21.799439247035814,0_LPCC_0,15.689441281439295,0_Wavelet absolute mean_5.0Hz,12.990481409837406
NerveDamage,0,catch22,0_Median diff,269157.8813592589,0_Wavelet absolute mean_6.25Hz,19.674009867692845,0_LPCC_0,17.88814897190582,0_Slope,-16.768094042837806,0_Wavelet absolute mean_5.0Hz,14.742803906426266
NerveDamage,0,rocket,0_Median diff,361339.3888540421,0_Wavelet absolute mean_6.25Hz,13.161945869435735,0_Slope,-12.262696959320488,0_Wavelet absolute mean_5.0Hz,11.44950311246311,0_LPCC_0,9.532543308554287
NerveDamage,1,lstm,0_Median diff,295743.8601002957,0_MFCC_8,4.737749588756237,0_Spectrogram mean coefficient_22.58Hz,3.4651644946191924,0_Spectrogram mean coefficient_24.19Hz,2.235065661752997,0_Spectrogram mean coefficient_19.35Hz,2.186969304249175
NerveDamage,1,catch22,0_Median diff,375860.7568073881,0_MFCC_4,18.019491671624948,0_MFCC_8,1.7590264239253073,0_Wavelet absolute mean_3.12Hz,1.3438109246541068,0_MFCC_11,0.9440547566676734
NerveDamage,1,rocket,0_Median diff,509250.6201839709,0_MFCC_4,22.050619261621005,0_Wavelet absolute mean_3.12Hz,4.997159512264192,0_Wavelet absolute mean_2.78Hz,3.382978895937258,0_Spectrogram mean coefficient_22.58Hz,2.530634741369456
NerveDamage,2,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
NerveDamage,2,catch22,0_Median diff,571158.6252892824,0_Skewness,-19.20947316344449,0_LPCC_4,12.205904417427746,0_LPCC_8,12.205904417427746,0_LPCC_0,11.736511983247627
NerveDamage,2,rocket,0_Median diff,515723.39859786135,0_MFCC_6,5.979281217063137,0_Skewness,-5.376368823142107,0_LPCC_4,4.612485407329496,0_LPCC_8,4.612485407329496
StandWalkJump,jumping,lstm,0_Median,-55569307.43564356,2_Median,53217821.929042906,0_Median diff,3217821.7821782203,1_Median diff,3217821.7821782203,3_Median diff,3217821.7821782045
StandWalkJump,jumping,catch22,0_Median,100990099.00990099,2_Median,97524752.47524747,1_Mean diff,-3071327.536141641,3_Median diff,-990099.009900991,1_Wavelet absolute mean_2.78Hz,29.32383202510273
StandWalkJump,jumping,rocket,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
StandWalkJump,standing,lstm,3_ECDF Percentile_1,289504950.4086908,1_Median,-84554455.36501649,2_Median,10198019.498019801,3_Median diff,4554455.445544545,2_Median diff,-2376237.623762378
StandWalkJump,standing,catch22,3_Histogram mode,-171.57422311089772,1_Spectral decrease,58.53884105482674,2_MFCC_6,13.755271227123615,2_Max power spectrum,12.755579895777968,1_MFCC_6,10.795238372540583
StandWalkJump,standing,rocket,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
StandWalkJump,walking,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
StandWalkJump,walking,catch22,3_Median diff,-32673267.32673256,3_Histogram mode,-48.534643758417666,1_MFCC_3,14.581709450159654,2_MFCC_6,-11.38379851314951,3_Wavelet absolute mean_12.5Hz,8.623027934284936
StandWalkJump,walking,rocket,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
