dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
MedicalImages,912,1,99,10,8,0.021,catch22,0.3286486486486487,0.2162351343075048,0.7729257641921398
MedicalImages,912,1,99,10,8,0.021,rocket,0.441578947368421,0.2796789479791992,0.8078602620087336
MedicalImages,912,1,99,10,9,0.1,lstm,0.0,0.0,0.6855895196506551
MedicalImages,912,1,99,10,9,0.1,catch22,0.4453333333333333,0.2160437198552388,0.7729257641921398
MedicalImages,912,1,99,10,9,0.1,rocket,0.5995833333333334,0.244724547535932,0.8078602620087336
TwoLeadECG,929,1,82,2,1,0.502,lstm,0.4139954853273138,0.160550416997208,0.9914163090128756
TwoLeadECG,929,1,82,2,1,0.502,catch22,0.2871723590150913,0.1780534890273156,0.9828326180257512
TwoLeadECG,929,1,82,2,1,0.502,rocket,0.5304642593957258,0.1285690404798894,1.0
TwoLeadECG,929,1,82,2,2,0.498,lstm,0.6060045146726863,0.160550416997208,0.9914163090128756
TwoLeadECG,929,1,82,2,2,0.498,catch22,0.6716600476568705,0.2152624245844229,0.9828326180257512
TwoLeadECG,929,1,82,2,2,0.498,rocket,0.4515327929255711,0.1192219056160147,1.0
CinCECGTorso,1136,1,1639,4,1,0.246,lstm,0.5659456040480708,0.1167326405725761,0.9964788732394366
CinCECGTorso,1136,1,1639,4,1,0.246,catch22,0.4989117836445589,0.1424843071856636,0.9859154929577464
CinCECGTorso,1136,1,1639,4,1,0.246,rocket,0.5360404807084124,0.1017761723251216,1.0
CinCECGTorso,1136,1,1639,4,2,0.251,lstm,0.5102069425901201,0.109353714515645,0.9964788732394366
CinCECGTorso,1136,1,1639,4,2,0.251,catch22,0.441808803301238,0.1351949604701749,0.9859154929577464
CinCECGTorso,1136,1,1639,4,2,0.251,rocket,0.4886248331108144,0.0885168067143186,1.0
CinCECGTorso,1136,1,1639,4,3,0.259,lstm,0.523625,0.1154423358409373,0.9964788732394366
CinCECGTorso,1136,1,1639,4,3,0.259,catch22,0.4479166666666667,0.1468061937785529,0.9859154929577464
CinCECGTorso,1136,1,1639,4,3,0.259,rocket,0.4887352941176471,0.100346549172335,1.0
CinCECGTorso,1136,1,1639,4,4,0.245,lstm,0.4190401505646173,0.1008397346749402,0.9964788732394366
CinCECGTorso,1136,1,1639,4,4,0.245,catch22,0.4561182519280206,0.1447490387429072,0.9859154929577464
CinCECGTorso,1136,1,1639,4,4,0.245,rocket,0.4308594730238393,0.0832455006374805,1.0
AtrialFibrillation,24,2,640,3,n,0.333,lstm,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,n,0.333,catch22,0.0,0.0,0.3333333333333333
AtrialFibrillation,24,2,640,3,n,0.333,rocket,0.0,0.0,0.0
AtrialFibrillation,24,2,640,3,s,0.292,lstm,0.0,0.0,0.0
